xi,yi
$276.59,$7.28
$485.34,$14.27
$151.63,$5.05
$203.30,$29.04
$271.41,$33.93
$160.28,$32.06
$147.72,$18.47
$338.18,$37.58
$390.00,$13.00
$169.65,$24.24
$275.99,$30.67
$504.72,$8.85
$162.38,$16.24
$63.61,$12.72
$368.08,$13.63
$98.93,$7.07
$82.65,$10.33
$142.13,$9.48
$136.50,$4.27
$49.93,$16.64
$72.11,$4.51
$126.89,$2.76
$12.44,$6.22
$86.64,$6.90
$39.34,$1.41
$44.59,$20.93
$9.90,$0.91
$34.57,$28.34
$57.41,$5.36
$15.01,$3.21
$19.89,$9.00
$27.79,$14.63
$19.78,$7.94
$900.00,$900.00
$249.96,$249.96
$190.83,$1.91
$79.61,$0.02
$600.00,$2.50
$111.15,$179.28
$38.24,$57.94
$23.22,$14.79
$19.05,$14.43
$89.79,$208.81
$29.44,$44.61
$94.82,$185.91
$48.44,$96.89
$17.88,$14.53
$17.02,$17.54
$53.19,$120.88
$66.92,$133.85
$16.82,$11.76
$17.40,$12.52
$67.26,$149.48
$279.30,$7.35
$461.19,$13.56
$152.73,$5.09
$221.80,$31.69
$274.05,$34.26
$165.58,$33.12
$153.30,$19.16
$355.82,$39.54
$420.00,$14.00
$181.01,$25.86
$293.60,$32.62
$518.72,$9.10
$171.29,$17.13
$73.81,$14.76
$415.77,$15.40
$77.61,$5.54
$69.04,$8.63
$134.44,$8.96
$123.62,$3.86
$30.04,$10.01
$71.93,$4.50
$121.62,$2.64
$9.29,$4.64
$90.01,$7.17
$41.54,$1.49
$44.95,$21.10
$9.90,$0.91
$34.74,$28.48
$58.48,$5.46
$15.56,$3.33
$20.56,$9.30
$28.13,$14.81
$19.91,$8.00
$900.00,$900.00
$245.43,$245.43
$191.63,$1.92
$79.61,$0.02
$600.00,$2.50
$111.28,$179.48
$38.65,$58.55
$23.60,$15.03
$19.20,$14.54
$92.83,$215.88
$29.85,$45.23
$94.74,$185.77
$49.01,$98.02
$18.07,$14.69
$17.26,$17.80
$53.07,$120.62
$68.25,$136.51
$16.93,$11.84
$17.65,$12.70
$67.51,$150.03
$296.24,$7.80
$424.65,$12.49
$154.73,$5.16
$257.71,$36.82
$276.07,$34.51
$171.00,$34.20
$161.45,$20.18
$367.19,$40.80
$420.00,$14.00
$187.36,$26.77
$296.10,$32.90
$514.48,$9.03
$176.20,$17.62
$79.19,$15.84
$437.97,$16.22
$77.10,$5.51
$55.16,$6.89
$139.87,$9.32
$103.74,$3.24
$25.68,$8.56
$69.21,$4.33
$121.99,$2.65
$7.68,$3.84
$95.65,$7.62
$42.82,$1.53
$44.95,$21.10
$10.05,$0.92
$34.74,$28.48
$59.19,$5.53
$16.09,$3.45
$20.89,$9.45
$28.29,$14.89
$20.08,$8.06
$900.00,$900.00
$240.05,$240.05
$192.37,$1.92
$79.61,$0.02
$600.00,$2.50
$111.52,$179.87
$38.87,$58.90
$23.60,$15.03
$19.20,$14.54
$93.60,$217.67
$30.02,$45.48
$94.87,$186.02
$49.22,$98.44
$18.07,$14.69
$17.36,$17.89
$52.98,$120.40
$69.11,$138.21
$16.77,$11.73
$17.66,$12.70
$68.00,$151.10
$315.37,$8.30
$417.74,$12.29
$155.08,$5.17
$276.83,$39.55
$282.00,$35.25
$171.35,$34.27
$172.79,$21.60
$365.49,$40.61
$420.00,$14.00
$190.16,$27.17
$292.67,$32.52
$506.12,$8.88
$182.39,$18.24
$81.06,$16.21
$438.86,$16.25
$111.96,$8.00
$58.43,$7.30
$138.51,$9.23
$96.44,$3.01
$33.04,$11.01
$65.02,$4.06
$126.26,$2.74
$5.82,$2.91
$99.00,$7.89
$42.95,$1.54
$45.47,$21.35
$10.06,$0.93
$34.43,$28.22
$59.80,$5.58
$16.44,$3.52
$21.11,$9.55
$28.78,$15.15
$19.96,$8.02
$900.00,$900.00
$246.56,$246.56
$193.17,$1.93
$82.50,$0.02
$600.00,$2.50
$111.94,$180.54
$39.17,$59.35
$23.88,$15.21
